Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Block,AveStim,Duration,Condition
2,39,37.0,7,4.96139,2.678355,2,36,100,0
2,42,34.0,6,6.721685,2.046385,2,36,2000,1
2,47,32.0,5,4.621095,1.934145,2,36,100,0
2,25,27.0,8,3.73026,2.39043,2,36,2000,1
2,41,32.0,5,5.339315,2.390195,3,50,100,0
2,55,50.0,7,6.520905,3.550515,3,50,2000,1
2,51,48.0,6,4.01656,2.91022,3,50,2000,1
2,37,40.0,6,5.39771,4.03755,3,50,100,0
2,64,63.0,7,5.32755,2.52611,3,50,2000,1
2,58,54.0,4,4.01756,3.34931,3,50,100,0
2,63,47.0,6,4.95299,2.37386,3,50,2000,1
2,50,45.0,5,3.72871,2.590205,3,50,100,0
2,51,41.0,6,4.754625,1.885905,3,50,2000,1
2,37,42.0,3,6.35101,3.060905,3,50,100,0
2,38,37.0,5,5.87924,2.83812,3,50,100,0
2,35,30.0,7,5.444905,4.262295,3,50,2000,1
2,46,36.0,7,3.78899,2.958385,3,50,100,0
2,64,54.0,8,3.54097,2.725465,3,50,2000,1
2,55,45.0,7,3.229905,2.23016,3,50,2000,1
2,61,NAN,4,NAN,2.346205,3,50,100,0
2,59,50.0,5,3.489625,1.694295,3,50,2000,1
2,60,45.0,5,3.37874,1.878275,3,50,100,0
2,64,53.0,6,3.840495,2.27818,3,50,2000,1
2,55,35.0,3,3.78691,3.38232,3,50,100,0
2,39,35.0,4,3.490995,1.934255,3,50,2000,1
2,54,47.0,6,4.10942,3.070225,3,50,100,0
2,55,53.0,7,3.88526,2.757885,3,50,2000,1
2,47,43.0,5,4.80747,2.214055,3,50,100,0
2,46,41.0,4,4.169375,1.990115,3,50,100,0
2,53,43.0,8,4.644885,2.03723,3,50,2000,1
2,58,39.0,5,5.41265,3.117965,3,50,100,0
2,44,38.0,5,4.445155,2.9972,3,50,2000,1
2,42,40.0,6,4.23162,2.28594,3,50,2000,1
2,58,44.0,5,4.82871,2.63702,3,50,100,0
2,47,47.0,7,6.5677,2.149985,3,50,2000,1
2,38,32.0,4,6.31149,3.6543,3,50,100,0
2,47,40.0,6,3.752025,3.206355,3,50,2000,1
2,40,42.0,6,4.181605,2.68509,3,50,100,0
2,56,58.0,5,4.0312,2.877995,3,50,2000,1
2,43,41.0,5,3.87,1.66072,3,50,100,0
2,36,44.0,6,4.4687,1.806145,3,50,2000,1
2,38,42.0,1,5.15305,2.894365,3,50,100,0
2,38,NAN,2,NAN,2.5484,3,50,2000,1
2,47,40.0,2,4.312605,3.317135,3,50,100,0
3,28,24.0,5,7.95255,1.93239,1,33,100,0
3,27,30.0,6,7.4881,3.017305,1,33,2000,1
3,39,40.0,3,4.494565,1.842815,1,33,2000,1
3,33,35.0,7,5.03383,2.07645,1,33,100,0
3,33,36.0,3,7.742345,2.17205,1,33,100,0
3,45,47.0,6,3.8696,2.382135,1,33,2000,1
3,35,31.0,6,8.86389,2.612785,1,33,100,0
3,27,23.0,7,6.351265,2.178615,1,33,2000,1
3,39,34.0,0,6.86884,4.110435,1,33,100,0
3,48,45.0,6,5.280255,1.820155,1,33,2000,1
3,33,NAN,5,NAN,2.378395,1,33,100,0
3,44,42.0,7,5.29873,2.115105,1,33,2000,1
3,23,29.0,6,5.238615,2.158225,1,33,2000,1
3,34,37.0,1,6.232645,3.62485,1,33,100,0
3,36,49.0,5,7.55045,2.10773,1,33,100,0
3,27,30.0,6,5.0886,1.73522,1,33,2000,1
3,30,32.0,2,4.342285,1.88707,1,33,100,0
3,18,20.0,5,5.02026,2.13148,1,33,2000,1
3,44,43.0,7,5.540405,2.6376,1,33,2000,1
3,34,36.0,7,7.479255,2.285625,1,33,100,0
3,35,33.0,3,3.551015,1.56606,1,33,100,0
3,40,41.0,8,5.512125,3.970345,1,33,2000,1
3,18,18.0,6,3.271965,2.141995,1,33,2000,1
3,18,22.0,3,2.74026,1.358085,1,33,100,0
3,21,25.0,6,6.970995,2.06102,1,33,2000,1
3,29,24.0,3,5.38487,2.075165,1,33,100,0
3,20,19.0,6,4.106035,3.23083,1,33,100,0
3,25,25.0,2,5.965485,1.57703,1,33,2000,1
3,30,32.0,1,4.977785,1.70848,1,33,2000,1
3,35,35.0,6,3.751525,2.178815,1,33,100,0
3,29,31.0,6,5.769735,2.854155,1,33,100,0
3,38,42.0,6,4.2849,1.9606,1,33,2000,1
3,33,40.0,2,5.933795,3.171805,1,33,2000,1
3,43,51.0,5,3.49002,3.52239,1,33,100,0
3,35,44.0,3,3.32987,2.10879,1,33,2000,1
3,25,23.0,9,4.634615,2.95277,1,33,100,0
3,33,34.0,0,3.04297,3.8871,1,33,2000,1
3,21,27.0,3,4.0211,1.95026,1,33,100,0
3,42,34.0,4,6.22144,2.3687,1,33,100,0
3,34,35.0,3,4.48757,1.946155,1,33,2000,1
