Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Order,Scale,Block
35,1,1,2.0,1.17804,0.30055,8,DS,PAS,1
35,1,1,4.0,1.26479,0.2811,2,DS,PAS,1
35,1,1,3.0,1.18275,0.50364,10,DS,PAS,1
35,1,1,4.0,1.14867,0.42369,6,DS,PAS,1
35,2,2,4.0,1.2696,0.34721,4,DS,PAS,1
35,2,1,2.0,2.09369,0.49685,12,DS,PAS,1
35,1,1,2.0,1.34038,0.31285,10,DS,PAS,1
35,2,2,4.0,1.30312,0.40394,6,DS,PAS,1
35,2,2,4.0,1.39012,0.35118,2,DS,PAS,1
35,2,2,2.0,1.18922,0.27111,11,DS,PAS,1
35,1,1,3.0,1.22907,0.26206,7,DS,PAS,1
35,1,1,3.0,1.25967,0.2988,7,DS,PAS,1
35,1,1,3.0,1.3028,0.26914,5,DS,PAS,1
35,1,1,4.0,1.30639,0.31224,2,DS,PAS,1
35,2,2,4.0,1.38175,0.30328,1,DS,PAS,1
35,2,2,4.0,1.27072,0.2693,3,DS,PAS,1
35,1,1,4.0,1.34621,0.22278,1,DS,PAS,1
35,1,1,3.0,1.25367,0.27009,8,DS,PAS,1
35,1,1,2.0,1.30718,0.31307,11,DS,PAS,1
35,2,2,3.0,1.18462,0.30626,5,DS,PAS,1
