Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,SN,Day,Accuracy,Condition,Block
1,2,2,2,1.068086593,0.240973499,0.085691244,1,1,3,12
1,2,1,1,1.84421039,0.266126703,0.063750516,1,0,3,12
1,1,1,1,1.291742669,0.600796906,0.085691244,1,1,3,12
1,1,1,3,0.829858559,0.571666488,0.085691244,1,1,3,12
1,2,1,1,1.568931489,0.259097726,0.063750516,1,0,3,12
1,2,1,1,1.98959131,1.077212572,0.085691244,1,0,3,12
1,2,2,2,1.559272597,2.329423574,0.103207488,1,1,3,12
1,2,2,2,1.194307466,1.015911465,0.103207488,1,1,3,12
1,2,2,2,2.381568774,1.037988279,0.078285467,1,1,3,12
1,2,2,2,0.913788812,0.285164209,0.078285467,1,1,3,12
1,2,2,1,1.326314437,0.296012216,0.057739705,1,1,3,12
1,1,2,1,2.20116894,0.273406487,0.057739705,1,0,3,12
1,2,2,2,1.123564585,0.295424399,0.073868091,1,1,3,12
1,1,1,1,1.143686442,0.234157624,0.073868091,1,1,3,12
1,1,2,2,1.469743476,0.337422202,0.054199168,1,0,3,12
1,2,1,1,1.231627934,0.238964754,0.073868091,1,0,3,12
1,2,2,2,0.993664597,0.505672728,0.089135453,1,1,3,12
1,2,2,3,1.153979033,0.355660055,0.089135453,1,1,3,12
1,1,1,1,1.826756106,0.184796348,0.066575287,1,1,3,12
1,1,1,3,1.326161538,0.76191744,0.066575287,1,1,3,12
1,1,1,3,1.35254096,0.258196504,0.048436244,1,1,3,12
1,1,1,3,1.252336185,0.337675527,0.048436244,1,1,3,12
1,1,2,2,1.489445153,0.64594107,0.034647761,1,0,3,12
1,1,2,1,2.84137692,0.408270677,0.048436244,1,0,3,12
1,1,1,2,1.58813899,0.501157649,0.058214547,1,1,3,12
1,1,2,2,1.245135157,0.282306915,0.058214547,1,0,3,12
1,2,2,2,1.06865095,0.337007398,0.074455857,1,1,3,12
1,2,1,1,1.055835793,0.246059088,0.074455857,1,0,3,12
1,2,2,2,1.049508811,0.318721252,0.094243512,1,1,3,12
1,2,1,2,1.197176449,0.365163072,0.094243512,1,0,3,12
1,2,2,3,1.547203299,0.285781491,0.117691,1,1,3,12
1,1,1,3,0.78315273,0.270700245,0.117691,1,1,3,12
2,2,2,4,1.109927365,0.265245432,0.3,1,1,1,7
2,1,1,4,0.602232266,0.305927198,0.3,1,1,1,7
2,2,2,4,0.61071834,0.31375536,0.255697168,1,1,1,7
