Subj_idx,Stimulus,Response,Confidence,RT_decConf,Coherence,Condition,Accuracy,Block,Date
1,0,1.0,0.906904,0.648386,0.064,0.0,0.0,13,20150519
1,0,0.0,0.144624,1.021414,0.0,1.0,1.0,13,20150519
1,0,0.0,0.959954,0.501421,0.128,0.0,1.0,13,20150519
1,1,1.0,0.959003,0.514641,0.256,1.0,1.0,13,20150519
1,0,1.0,0.164399,1.021505,0.0,0.0,0.0,13,20150519
1,1,1.0,1.0,0.461536,0.064,1.0,1.0,13,20150519
1,1,0.0,1.0,0.661499,0.0,1.0,0.0,13,20150519
1,1,1.0,0.963757,0.674818,0.128,0.0,1.0,13,20150519
1,1,1.0,0.993419,0.47475,0.512,0.0,1.0,13,20150519
1,1,1.0,0.995891,0.581511,0.128,1.0,1.0,13,20150519
1,1,1.0,0.963376,0.501484,0.256,1.0,1.0,13,20150519
1,0,1.0,0.961475,0.488115,0.032,1.0,0.0,13,20150519
1,0,0.0,0.955961,0.581359,0.064,0.0,1.0,13,20150519
1,0,0.0,0.103744,0.768405,0.032,0.0,1.0,13,20150519
1,0,1.0,0.066286,0.994778,0.0,0.0,0.0,13,20150519
1,0,0.0,1.0,0.434855,0.512,1.0,1.0,13,20150519
1,0,0.0,1.0,0.47491,0.128,1.0,1.0,13,20150519
1,1,1.0,0.980869,0.541412,0.128,1.0,1.0,13,20150519
1,1,0.0,1.0,0.794933,0.0,1.0,0.0,13,20150519
1,0,1.0,0.962616,0.421224,0.032,0.0,0.0,13,20150519
1,1,0.0,0.010574,0.688155,0.032,1.0,0.0,13,20150519
1,0,0.0,1.0,0.634856,0.256,1.0,1.0,13,20150519
1,0,0.0,0.0313,0.634855,0.064,1.0,1.0,13,20150519
1,0,0.0,1.0,0.448372,0.256,1.0,1.0,13,20150519
1,0,1.0,0.102603,0.740696,0.0,0.0,0.0,13,20150519
1,1,1.0,0.997792,0.6483,0.064,0.0,1.0,13,20150519
1,1,0.0,1.0,0.554877,0.0,0.0,0.0,13,20150519
1,0,0.0,0.135688,0.768284,0.032,0.0,1.0,13,20150519
1,1,1.0,0.979538,0.94753,0.0,1.0,1.0,14,20150519
1,0,0.0,0.988475,0.501524,0.256,1.0,1.0,14,20150519
1,0,0.0,0.961475,0.514877,0.512,0.0,1.0,14,20150519
1,1,1.0,0.985623,0.461376,0.512,1.0,1.0,14,20150519
1,1,1.0,0.2319,0.848067,0.128,1.0,1.0,14,20150519
1,1,0.0,0.029208,1.448008,0.032,1.0,0.0,14,20150519
1,1,1.0,0.986954,0.448643,0.032,0.0,1.0,14,20150519
1,1,1.0,1.0,0.487958,0.256,0.0,1.0,14,20150519
1,1,1.0,0.995891,0.474808,0.512,0.0,1.0,14,20150519
1,0,0.0,0.970982,1.075238,0.128,1.0,1.0,14,20150519
1,0,0.0,0.939418,0.67479,0.128,1.0,1.0,14,20150519
1,0,1.0,0.613705,0.928209,0.0,0.0,0.0,14,20150519
1,0,1.0,0.221442,0.914652,0.128,0.0,0.0,14,20150519
1,1,1.0,0.873819,1.088054,0.0,0.0,1.0,14,20150519
1,0,0.0,1.0,0.648199,0.064,1.0,1.0,14,20150519
1,0,1.0,0.063624,0.821386,0.128,0.0,0.0,14,20150519
1,1,1.0,0.818678,0.808669,0.064,0.0,1.0,14,20150519
1,1,1.0,0.026736,0.768092,0.128,1.0,1.0,14,20150519
1,0,0.0,0.984672,0.474888,0.256,0.0,1.0,14,20150519
1,0,0.0,0.962806,0.488229,0.512,0.0,1.0,14,20150519
1,0,1.0,0.086821,0.674773,0.128,1.0,0.0,14,20150519
1,1,1.0,0.970412,0.954763,0.064,0.0,1.0,14,20150519
1,0,1.0,0.023694,0.581483,0.128,0.0,0.0,14,20150519
1,0,1.0,0.072751,0.63489,0.128,1.0,0.0,14,20150519
1,1,1.0,0.070469,0.661507,0.032,1.0,1.0,14,20150519
1,1,1.0,0.690713,0.674764,0.128,1.0,1.0,14,20150519
1,1,1.0,0.985813,0.461374,0.256,1.0,1.0,14,20150519
1,1,0.0,0.091575,0.581548,0.0,0.0,0.0,14,20150519
1,1,1.0,1.0,0.501932,0.0,1.0,1.0,14,20150519
1,1,1.0,1.0,0.447384,0.512,1.0,1.0,14,20150519
1,1,1.0,0.98144,0.328203,0.512,1.0,1.0,14,20150519
1,0,1.0,0.923637,0.367931,0.0,1.0,0.0,14,20150519
1,0,0.0,0.213646,0.60823,0.256,1.0,1.0,14,20150519
1,1,0.0,0.017229,2.154662,0.032,0.0,0.0,14,20150519
1,1,1.0,1.0,0.314879,0.256,1.0,1.0,14,20150519
1,0,1.0,0.081687,0.768117,0.032,0.0,0.0,14,20150519
1,1,1.0,0.936566,0.315498,0.512,0.0,1.0,14,20150519
1,1,1.0,0.963567,0.461623,0.128,0.0,1.0,14,20150519
1,0,0.0,0.198815,0.569108,0.064,1.0,1.0,14,20150519
1,0,0.0,0.470338,0.6085,0.064,1.0,1.0,14,20150519
1,1,1.0,0.943602,0.50146,0.032,1.0,1.0,14,20150519
1,1,1.0,0.985433,0.459515,0.512,0.0,1.0,14,20150519
1,0,0.0,0.977827,0.514748,0.256,0.0,1.0,14,20150519
1,0,0.0,0.208512,0.581345,0.032,1.0,1.0,14,20150519
1,1,1.0,0.970982,0.51474,0.512,1.0,1.0,14,20150519
1,0,0.0,0.912038,0.781345,0.512,0.0,1.0,14,20150519
1,1,0.0,0.886369,0.554959,0.032,0.0,0.0,14,20150519
1,0,1.0,0.304914,0.701417,0.064,0.0,0.0,14,20150519
1,0,0.0,0.921925,0.474838,0.0,1.0,1.0,14,20150519
1,0,1.0,0.442957,1.247792,0.032,0.0,0.0,14,20150519
1,1,1.0,0.939799,0.474974,0.064,1.0,1.0,14,20150519
1,0,0.0,0.905573,0.43465,0.512,1.0,1.0,14,20150519
1,0,0.0,0.434971,0.581555,0.064,0.0,1.0,14,20150519
1,1,1.0,0.658388,1.141349,0.064,1.0,1.0,14,20150519
1,0,1.0,0.845488,0.487474,0.0,1.0,0.0,14,20150519
1,0,0.0,0.960144,0.448101,0.512,1.0,1.0,14,20150519
1,0,0.0,0.949116,0.568327,0.256,0.0,1.0,14,20150519
1,0,0.0,0.136448,0.554703,0.256,1.0,1.0,14,20150519
1,0,0.0,0.851573,0.608084,0.256,0.0,1.0,14,20150519
