Subj_idx,Block,Trial,RT_stop,Stimulus,Response,Error,Confidence,RT_confidence,ErrorDirectionJudgment,RT_directionJudgment
2,4,44,2.76462585034014,7,7,0,2,0.287520304322243,-1,0.0167150311172009
2,4,45,2.22766439909297,7,6,-1,2,0.435417184606194,-1,4.38960315659642
2,4,46,2.49904761904762,7,7,0,3,0.203233234584332,-1,0.0162201356142759
2,4,47,2.77043083900227,7,8,1,3,0.293844051659107,-1,1.46336233057082
2,4,48,2.69496598639456,7,7,0,3,0.299179702997208,-1,0.0160702597349882
2,4,49,2.47002267573696,7,7,0,3,0.25001859292388,-1,0.016126723960042
2,4,50,2.42793650793651,7,6,-1,3,0.344008013606071,-1,0.0168800707906485
2,4,51,3.3190022675737,7,9,2,1,0.283851351588964,-1,0.0161358751356602
2,4,52,2.52662131519274,7,7,0,2,0.678611803799868,-1,0.150279428809881
2,4,53,2.7849433106576,7,6,-1,2,4.71587184816599,-1,1.55047984607518
2,4,54,2.64997732426304,7,7,0,2,0.293328572064638,-1,0.540336115285754
2,4,55,2.74285714285714,7,7,0,2,0.22341432608664,-1,1.61018931865692
2,4,56,2.28136054421769,7,7,0,3,0.271627986803651,-1,1.57633983530104
2,4,57,3.08825396825397,7,8,1,2,0.923489207401872,-1,0.0417771860957146
2,4,58,2.48453514739229,7,7,0,2,0.649342710152268,-1,0.0162737239152193
2,4,59,2.8821768707483,7,7,0,3,0.283399688079953,-1,0.0162342377007008
2,4,60,2.49324263038549,7,7,0,3,1.40269424580038,-1,0.0161451324820518
2,4,61,2.85895691609977,7,7,0,3,0.20763991959393,-1,1.22769851237535
2,4,62,3.05632653061224,7,7,0,3,0.407766088843346,-1,0.827322809025645
2,4,63,2.31328798185941,7,7,0,3,0.253690844401717,-1,1.15094856917858
2,4,64,2.87201814058957,7,7,0,3,0.463887058198452,-1,0.272096648812294
2,4,65,3.09260770975057,7,8,1,1,0.263298997655511,-1,0.0170045681297779
2,4,66,3.43800453514739,7,8,1,2,0.276165867224336,-1,0.0168900657445192
2,4,67,2.76027210884354,7,7,0,2,0.318703828379512,-1,0.0169176571071148
2,4,68,1.53106575963719,7,4,-3,2,0.357228267937899,-1,0.0253662075847387
2,4,69,2.67319727891156,7,7,0,3,0.227542800828815,-1,0.0160681679844856
2,4,70,2.40761904761905,7,7,0,3,0.352501412853599,-1,0.782378634437919
2,4,71,2.74285714285714,7,8,1,2,0.372335309162736,-1,0.0167098734527826
2,4,72,2.47727891156463,7,7,0,3,0.307623740285635,-1,0.0168160907924175
2,4,73,2.55854875283447,7,7,0,2,0.416677927598357,-1,0.016771599650383
2,4,74,2.8952380952381,7,7,0,3,0.236048659309745,-1,0.016175102442503
2,4,75,2.45986394557823,7,7,0,3,0.275504903867841,-1,0.0169808734208345
2,4,76,2.63401360544218,7,7,0,3,0.310657940804958,-1,0.0162971839308739
2,4,77,2.73850340136054,7,7,0,2,0.377757797017694,-1,0.0169793553650379
2,4,78,1.96208616780045,7,6,-1,2,0.290560951456428,-1,0.0158787854015827
2,4,79,2.37133786848073,7,6,-1,3,0.258205149322748,-1,0.0161662846803665
2,4,80,2.54403628117914,7,7,0,3,2.56077618710697,-1,0.016199242323637
2,4,81,2.97360544217687,7,7,0,3,0.340118603780866,-1,0.0162262748926878
2,4,82,2.77043083900227,7,7,0,3,0.255377233028412,-1,0.0162709355354309
2,4,83,2.77333333333333,7,7,0,3,0.192266348749399,-1,0.0164437890052795
2,4,84,2.54548752834467,7,7,0,3,0.211913807317615,-1,0.0166768375784159
2,4,85,2.49904761904762,7,7,0,3,0.253866117447615,-1,0.0158384516835213
2,4,86,2.69351473922903,7,7,0,2,0.350461294874549,-1,0.0159357655793428
2,4,87,2.64562358276644,7,7,0,3,0.277299549430609,-1,0.117029875516891
2,4,88,2.57886621315193,7,7,0,3,0.254048073664308,-1,0.0165977627038956
2,4,89,3.02149659863946,7,7,0,3,0.29981891065836,-1,0.0159406345337629
2,4,90,2.81977324263039,7,7,0,3,0.267853364348412,-1,0.0165596399456263
2,4,91,3.15501133786848,7,9,2,2,0.28446189686656,-1,0.0159773640334606
2,4,92,2.4584126984127,7,7,0,2,0.310733025893569,-1,0.0166697334498167
2,4,93,2.43229024943311,7,7,0,3,0.250301908701658,-1,0.0167271792888641
2,4,94,2.61514739229025,7,7,0,3,0.274226777255535,-1,0.0160969849675894
2,4,95,2.34956916099773,7,7,0,3,0.261756172403693,-1,0.0162859801203012
2,4,96,2.74866213151927,7,7,0,3,0.251346055418253,-1,0.0168768223375082
2,4,97,2.90394557823129,7,7,0,3,0.227848121896386,-1,0.0162911806255579
2,4,98,2.97360544217687,7,7,0,3,0.499236188828945,-1,0.0161265674978495
2,4,99,2.5730612244898,7,7,0,3,0.307189187034965,-1,0.0168973002582788
2,4,100,2.97070294784581,7,8,1,3,0.321148736402392,-1,0.0161135718226433
2,4,101,3.12453514739229,7,8,1,2,0.365715816617012,-1,0.0159620698541403
2,4,102,2.77913832199547,7,7,0,3,0.170211603865027,-1,1.69416115805507
2,4,103,3.15065759637188,7,7,0,2,0.553197713568807,-1,0.0467962175607681
2,4,104,2.68190476190476,7,7,0,2,0.586771158501506,-1,0.0856044180691242
2,4,105,2.25668934240363,7,6,-1,2,1.29102061875165,-1,0.0161093175411224
2,4,106,2.62530612244898,7,7,0,3,0.44484842941165,-1,0.0165204871445894
2,4,107,2.60208616780045,7,6,-1,2,0.954037025570869,-1,0.0233767051249743
2,4,108,2.59482993197279,7,7,0,3,0.275642644613981,-1,0.0170020330697298
2,4,109,2.8952380952381,7,7,0,3,0.226477785035968,-1,0.0168665945529938
2,4,110,2.85024943310658,7,7,0,3,0.254338812083006,-1,0.0169344209134579
2,4,111,2.80235827664399,7,7,0,3,0.275429708883166,-1,0.0163112264126539
2,4,112,2.62095238095238,7,7,0,3,0.289382942020893,-1,0.448908284306526
2,4,113,2.83138321995465,7,7,0,2,0.316989302635193,-1,0.37070544436574
2,4,114,2.92571428571429,7,7,0,3,0.339573739096522,-1,0.0326276086270809
2,4,115,2.69061224489796,7,7,0,3,0.578939966857433,-1,0.0791130121797323
2,4,116,2.86621315192744,7,7,0,3,0.241328841075301,-1,0.0160271599888802
2,4,117,3.00988662131519,7,7,0,3,0.371488872915506,-1,0.150050120428205
2,4,118,2.89378684807256,7,7,0,3,0.352631391957402,-1,0.0776945743709803
2,4,119,2.86331065759637,7,8,1,3,0.706788463518023,-1,0.432853113859892
2,4,120,2.85024943310658,7,7,0,3,0.419648699462414,-1,0.199041683226824
2,4,121,3.09696145124717,7,7,0,3,0.373809112235904,-1,0.0493535622954369
2,4,122,2.26539682539683,7,6,-1,3,0.412552224472165,-1,0.0164041761308908
2,4,123,2.66303854875283,7,7,0,2,0.309036023914814,-1,0.0912472512573004
2,4,124,3.02439909297052,7,7,0,3,0.273853536695242,-1,0.0163902621716261
2,4,125,2.51065759637188,7,7,0,3,0.561586754396558,-1,0.0170606411993504
3,3,1,1.72408163265306,7,6,-1,3,1.04213630408049,-1,0.906162571161985
3,3,2,2.54839002267574,7,7,0,3,1.72426057048142,-1,0.331099869683385
3,3,3,3.35238095238095,7,8,1,2,1.62242566421628,-1,0.223622471094131
3,3,4,3.55265306122449,7,9,2,1,0.660330137237906,-1,0.12451634183526
3,3,5,2.65868480725624,7,6,-1,3,0.986003145575523,-1,0.556402018293738
3,3,6,2.53532879818594,7,7,0,1,0.756978603079915,-1,0.415693383663893
3,3,7,2.41487528344671,7,6,-1,1,1.16872872970998,-1,0.123425047844648
3,3,8,2.20444444444444,7,6,-1,2,0.931137943640351,-1,0.632476851344109
3,3,9,2.67755102040816,7,6,-1,2,0.0156114082783461,-1,3.63648490048945
3,3,10,1.81551020408163,7,5,-2,1,1.16291964054108,-1,0.127959348261356
3,3,11,2.63981859410431,7,7,0,1,1.04617973230779,-1,0.110745871439576
3,3,12,2.29151927437642,7,6,-1,2,1.29725780896842,-1,0.136899957433343
3,3,13,2.0259410430839,7,7,0,1,1.08014891669154,-1,0.103084037080407
3,3,14,3.41478458049887,7,8,1,1,0.980893896892667,-1,0.0166598428040743
3,3,15,2.51791383219955,7,7,0,1,0.578518103808165,-1,0.0214878432452679
3,3,16,2.98666666666667,7,8,1,1,0.937636440619826,-1,0.0458934064954519
3,3,17,2.97360544217687,7,7,0,1,0.703282281756401,-1,0.0304721724241972
3,3,18,2.67319727891156,7,7,0,3,0.701134210452437,-1,1.06834815628827
3,3,19,2.61079365079365,7,7,0,3,0.658378452062607,-1,0.32881210744381
3,3,20,2.58176870748299,7,7,0,1,1.40751403011382,-1,0.225709913298488
3,3,21,2.780589569161,7,7,0,1,0.465359658002853,-1,0.0902508925646544
3,3,22,2.8734693877551,7,7,0,1,0.958190910518169,-1,0.0196343678981066
3,3,23,2.00272108843537,7,6,-1,2,1.52008731849492,-1,0.0213786475360394
3,3,24,2.65142857142857,7,7,0,3,0.908845724537969,-1,0.0166605729609728
3,3,25,2.44825396825397,7,7,0,3,0.898107171058655,-1,0.0722147319465876
3,3,26,2.99102040816327,7,7,0,2,2.61683791130781,-1,0.0813741981983185
3,3,27,2.5643537414966,7,7,0,1,0.715916696935892,-1,0.016715407371521
3,3,28,3.37269841269841,7,8,1,1,0.612495701760054,-1,0.0162827931344509
3,3,29,2.51210884353742,7,6,-1,1,1.09140037372708,-1,3.60173628292978
3,3,30,2.34666666666667,7,6,-1,1,0.880449833348393,-1,0.0793815683573484
3,3,31,2.49904761904762,7,7,0,1,0.502570543438196,-1,0.0288214161992073
3,3,32,3.31609977324263,7,8,1,1,1.15744591876864,-1,0.105207301676273
3,3,33,2.20444444444444,7,7,0,1,2.02724318765104,-1,0.204243049025536
3,3,34,2.58757369614512,7,7,0,2,0.0160702355206013,-1,2.46898951567709
3,3,35,2.49759637188209,7,7,0,2,1.51054875180125,-1,0.0161027703434229
3,3,36,2.56580498866213,7,6,-1,2,1.19023333862424,-1,0.0160741675645113
3,3,37,2.69496598639456,7,8,1,1,1.06860418617725,-1,0.0164181515574455
3,3,38,2.50340136054422,7,6,-1,1,2.14335600286722,-1,0.162304189056158
3,3,39,2.92716553287982,7,7,0,1,0.972779370844364,-1,0.0651493165642023
3,3,40,2.85460317460317,7,8,1,2,0.596896067261696,-1,0.0160429682582617
3,3,41,2.84299319727891,7,8,1,1,0.755453918129206,-1,0.0164032559841871
3,3,42,2.88362811791383,7,7,0,2,1.13955765776336,-1,0.128605326637626
3,3,43,2.45551020408163,7,6,-1,2,2.02064630948007,-1,0.158643703907728
3,3,44,2.43083900226757,7,7,0,1,4.64104041643441,-1,0.764526037499309
3,3,45,2.69496598639456,7,6,-1,1,1.935886381194,-1,0.0606930814683437
3,3,46,2.57015873015873,7,7,0,2,2.13597366958857,-1,0.0163327269256115
3,3,47,3.46267573696145,7,9,2,1,0.543422061949968,-1,0.016195073723793
3,3,48,2.57451247165533,7,7,0,2,0.712304573506117,-1,1.10327003523707
3,3,49,2.4453514739229,7,7,0,1,0.803318319842219,-1,0.0290428996086121
3,3,50,2.49034013605442,7,6,-1,1,1.73814495839179,-1,0.0162823330610991
3,3,51,2.2378231292517,7,6,-1,2,0.552183359861374,-1,0.0164077375084162
3,3,52,2.11156462585034,7,6,-1,1,0.880807349458337,-1,0.0164029784500599
3,3,53,2.13478458049887,7,6,-1,2,1.04299469478428,-1,0.564272092655301
3,3,54,2.6615873015873,7,6,-1,1,1.5523330308497,-1,0.25111603923142
3,3,55,2.32780045351474,7,6,-1,2,0.747110672295094,-1,1.03944825939834
3,3,56,3.18984126984127,7,7,0,2,1.3687274325639,-1,0.195718815550208
3,3,57,2.63836734693878,7,6,-1,2,1.42709878645837,-1,0.0160542689263821
3,3,58,3.07083900226757,7,8,1,1,1.12569348141551,-1,0.138390269130468
3,3,59,3.01278911564626,7,7,0,2,0.761873446404934,-1,1.07724571414292
3,3,60,2.16380952380952,7,6,-1,2,0.594148337841034,-1,1.14749122783542
3,3,61,2.2508843537415,7,5,-2,2,0.739056659862399,-1,0.0879427287727594
3,3,62,2.50630385487528,7,6,-1,2,0.445382623001933,-1,0.0163793861865997
3,3,63,2.53387755102041,7,6,-1,1,1.01916792057455,-1,0.125386109575629
3,3,64,2.8734693877551,7,7,0,1,0.928164798766375,-1,0.166913190856576
3,3,65,1.81986394557823,7,6,-1,2,1.43435730226338,-1,0.123124139383435
3,3,66,2.8908843537415,7,7,0,2,0.0159690268337727,-1,1.5169965326786
3,3,67,2.70657596371882,7,8,1,2,0.0163338091224432,-1,2.19895099662244
3,3,68,2.42213151927438,7,6,-1,1,1.3937898427248,-1,0.165130445733666
3,3,69,2.96054421768707,7,7,0,1,2.04585462622344,-1,0.541886178776622
3,3,70,2.59773242630386,7,7,0,2,0.677073150873184,-1,0.574013743549585
3,3,71,3.0853514739229,7,7,0,2,1.10070873610675,-1,0.177621839568019
3,3,72,2.48598639455782,7,7,0,2,0.867965875193477,-1,0.0167174562811852
3,3,73,2.69496598639456,7,7,0,2,0.660943379625678,-1,0.0162809081375599
3,3,74,2.77043083900227,7,8,1,1,0.820004222914577,-1,0.107575776055455
3,3,75,2.01578231292517,7,6,-1,1,1.56154005602002,-1,0.836811011657119
3,3,76,2.3350566893424,7,6,-1,2,0.816266030073166,-1,0.0490838773548603
3,3,77,2.04770975056689,7,6,-1,1,1.05630915425718,-1,0.856383007019758
3,3,78,3.18113378684807,7,7,0,1,0.823044199496508,-1,0.535143272951245
3,3,79,2.05206349206349,7,6,-1,2,0.437862064689398,-1,0.680045563727617
3,3,80,2.23201814058957,7,7,0,2,1.44957229495049,-1,0.28074393607676
3,3,81,2.7762358276644,7,7,0,3,1.55631621181965,-1,0.865181328728795
3,3,82,2.6790022675737,7,7,0,1,1.88912718556821,-1,0.200037458911538
3,3,83,2.36408163265306,7,7,0,1,1.2543869651854,-1,0.118088897317648
