Subj_idx,Block,Trial,Stimulus,Response,RT_dec,Confidence,RT_conf,ErrorDirectionJudgment,RT_directionJudgment
1,1,104,4,4,0.617343232996063,3,0.970948248999775,-1,0.016932116006501
1,1,105,16,17,1.80208830500487,1,4.9037803169922,-1,1.38549481000518
1,1,106,29,22,1.46836017900205,1,0.405598134995671,1,1.02318417100469
1,1,107,29,19,1.96887593698921,1,0.505189987001359,-1,1.03190053498838
1,1,108,27,18,2.25274342500779,1,0.784973754998646,-1,1.06045691200416
1,1,109,11,9,1.8521481850039,2,0.920109402999515,-1,0.982152056996711
1,1,110,28,17,2.16928807701333,1,0.695951689005597,-1,0.574126740000793
1,1,111,6,5,0.834295421998831,3,0.448705918999622,1,3.29765848400712
1,1,112,4,4,0.700790603994392,3,0.446004028999596,-1,0.248013452001032
1,1,113,15,15,6.34036181500414,1,1.20843611400051,-1,0.0169160200020997
1,1,114,25,20,2.36939006000466,1,0.338443913002266,1,0.766483955012518
1,1,115,8,9,6.00681371999963,2,0.919104015003541,-1,0.107363771996461
1,1,116,9,7,1.8687514399935,2,0.646878436993575,-1,0.640419212009874
1,1,117,7,7,1.6852281659958,3,0.453864780007279,-1,3.59862817899557
1,1,118,14,15,5.28922747299657,1,0.899435458995868,-1,0.672509975003777
1,1,119,24,12,5.15581097999529,1,1.22363387400401,-1,0.0475950569962151
1,1,120,8,6,1.83537307400547,3,1.07417572200939,-1,0.121763410003041
1,1,121,14,11,5.35605962500267,1,0.88987339400046,-1,1.73676796199288
1,1,122,7,7,3.60418979200767,3,0.487954506999813,1,0.55190954200225
1,1,123,20,12,2.05238524799643,2,0.413168593004229,-1,1.06416480201005
1,1,124,11,10,4.97215484500339,2,0.903779596992536,1,0.277321080997353
1,1,125,6,5,1.06794936000369,3,0.817265484001837,-1,0.121952963992953
1,1,126,21,19,1.83542764000595,1,0.592880187003175,1,0.307015710000996
1,1,127,12,11,3.47055353899486,2,0.526187442999799,1,0.243114234996028
1,1,128,28,20,1.53509090100124,1,0.58565208100481,1,0.220245072006946
1,1,129,11,11,3.33707563599455,2,0.534071686008247,-1,0.403549467009725
1,1,130,11,9,3.73748670901114,3,0.91765383699385,1,0.0909752949955873
1,1,131,22,19,3.47059149699635,1,0.775582646005205,1,0.130082460993435
1,1,132,22,16,4.28808836400276,1,1.27005195899983,-1,0.461578459988232
1,1,133,17,14,3.27039036300266,2,0.718830609010183,-1,0.395835111994529
1,1,134,29,21,3.68749243499769,2,0.41642762698757,1,0.20260707399575
1,1,135,8,6,1.33492381501128,3,0.667322762004915,1,0.139222714002244
1,1,136,4,4,0.750851293996675,3,1.62235563001013,-1,0.455087806010852
1,1,137,13,10,2.95334121999622,2,0.336523674995988,1,0.133082478991128
1,1,138,4,4,0.634072660002857,3,0.656221590004861,-1,0.0249371349927969
1,1,139,22,11,2.41942064699833,2,0.591371941001853,1,0.283133849996375
1,1,140,22,16,1.7185889310058,1,0.691614753988688,-1,0.178655980998883
1,1,141,16,13,2.10235738300253,1,0.812752066995017,-1,0.135492203000467
1,1,142,21,16,1.91885807299695,1,1.0642435530026,-1,0.728425210007117
1,1,143,5,5,0.834235033005825,3,0.784523673995864,1,0.226522595010465
1,1,144,21,17,5.57291742799862,1,0.72831423599564,-1,0.28585588200076
1,1,145,25,14,5.65634903700266,2,0.460880911996355,-1,0.174300511993351
1,1,146,7,6,1.08456489200762,3,0.644220568996388,-1,0.229469201993197
1,1,147,16,12,2.10236182299559,1,0.644801761998679,1,1.19735363200016
1,1,148,29,16,1.63516179200087,1,0.707364223999321,-1,0.185464912996395
1,1,149,16,10,9.02662929499638,1,0.652488669002196,-1,0.115757363993907
1,1,150,16,9,1.91894564199902,2,0.882111052997061,-1,0.319884746000753
1,1,151,26,18,3.17031622999639,1,1.00522202700085,-1,0.239457433999632
1,1,152,6,5,0.884286653003073,3,0.942272728003445,-1,0.186749008993502
1,1,153,29,14,2.38598143000854,1,11.9531408189941,-1,0.905527206006809
1,1,154,7,6,1.11792829500337,3,0.553025317989523,-1,0.301890587012167
1,1,155,28,15,3.02008569899772,1,0.156283100004657,1,1.16911918400729
1,1,156,29,18,4.72185025399085,2,0.589520523993997,-1,0.209848523998517
1,1,157,7,6,1.28478066899697,3,0.764600726004574,1,1.35174686099344
1,1,158,4,4,0.817595004991745,3,0.424158677997184,-1,0.0170140500122216
1,1,159,16,13,3.55401778299711,1,0.799352153000655,-1,0.313681127998279
1,1,160,22,16,3.77085952200287,2,0.616662524989806,1,1.49074879700493
1,1,161,10,9,2.56965550599853,3,0.850893016991904,1,0.731834172009258
1,1,162,10,11,3.78749067700119,3,0.447329973991145,1,0.584047944008489
1,1,163,21,16,1.6519181199983,1,0.620388467010343,-1,0.190267194004264
1,1,164,16,13,3.13694820500677,1,0.360261184992851,-1,0.140775246996782
1,1,165,7,7,1.91881003200251,3,0.411386808002135,-1,0.149445774004562
1,1,166,6,6,2.18576079400373,3,0.639252899010899,1,0.775578083994333
1,1,167,25,14,1.8854670629953,1,0.437407197008724,-1,0.141793060000055
