Subj_idx,Stimulus,Response,Confidence,RT_dec,Load,Condition,Accuracy,Task,Block
2,0,0,2,1.56514066000045,3.0,1.0,1,wm,4
2,0,0,2,0.964510707000045,3.0,1.0,1,wm,4
2,0,0,2,1.12092459999985,3.0,0.5,1,wm,4
2,1,0,2,0.350748801999998,3.0,0.5,0,wm,4
2,1,0,2,1.53809907500045,3.0,1.0,0,wm,4
2,1,4,2,1.65513804300008,3.0,0.5,0,wm,4
2,1,4,2,1.33815622300017,3.0,1.0,0,wm,4
2,0,1,1,1.15643783899941,3.0,0.5,0,wm,4
2,1,0,3,1.2643522999997,3.0,1.0,0,wm,4
2,1,0,2,1.65067195000029,3.0,0.5,0,wm,4
2,1,0,2,1.46254144700106,3.0,0.5,0,wm,4
2,1,1,2,1.33081105500059,3.0,0.5,1,wm,4
2,0,1,2,1.40141800700076,3.0,1.0,0,wm,4
2,1,1,2,1.10897132300033,3.0,0.5,1,wm,4
2,1,0,1,1.12726610399932,3.0,0.5,0,wm,4
2,1,1,2,1.41376870099975,3.0,1.0,1,wm,4
2,0,1,2,1.99060291300066,3.0,0.5,0,wm,4
2,1,1,2,1.95301423099954,3.0,0.5,1,wm,4
2,1,0,2,1.28691258800063,3.0,0.5,0,wm,4
2,1,0,2,4.92986342400036,3.0,0.5,0,wm,4
2,1,0,2,0.496292348000679,3.0,0.5,0,wm,4
2,0,1,2,1.49117736300013,3.0,1.0,0,wm,4
2,0,0,2,0.589674595999895,3.0,0.5,1,wm,4
2,0,1,2,1.61462216099972,3.0,1.0,0,wm,4
2,1,1,2,1.65972619700005,3.0,0.5,1,wm,4
2,1,0,2,1.77376216900029,3.0,1.0,0,wm,4
2,0,0,2,0.960625972000344,3.0,1.0,1,wm,4
2,1,0,2,1.7491030730007,3.0,0.5,0,wm,4
2,0,0,2,0.438775875999454,3.0,1.0,1,wm,4
2,0,0,1,0.367881979000231,3.0,1.0,1,wm,4
2,0,0,1,1.09859423000034,3.0,0.5,1,wm,4
2,1,0,1,0.80386783799986,3.0,0.5,0,wm,4
2,1,1,2,1.28046610900037,3.0,1.0,1,wm,4
2,1,0,1,0.993472520000068,3.0,0.5,0,wm,4
3,0,0,2,2.09231666600044,3.0,1.0,1,wm,3
3,1,0,2,2.93869070800065,3.0,0.5,0,wm,3
3,0,1,2,3.31857712000055,3.0,0.5,0,wm,3
3,0,0,3,1.73677242500071,3.0,1.0,1,wm,3
3,0,0,2,1.83563506300015,3.0,1.0,1,wm,3
3,1,0,3,1.46796441799961,3.0,0.5,0,wm,3
3,0,0,3,1.43331134999971,3.0,0.5,1,wm,3
3,1,0,3,3.5037232550003,3.0,0.5,0,wm,3
3,0,0,3,2.18069983399982,3.0,0.5,1,wm,3
3,0,1,2,1.47008145600012,3.0,0.5,0,wm,3
3,1,1,3,1.21527626800071,3.0,1.0,1,wm,3
3,0,0,2,1.89655875500102,3.0,1.0,1,wm,3
3,0,1,2,2.12671874300031,3.0,0.5,0,wm,3
3,1,1,3,1.37250009800027,3.0,1.0,1,wm,3
3,0,0,3,1.24258570600068,3.0,0.5,1,wm,3
3,1,0,2,3.90566546600076,3.0,0.5,0,wm,3
3,1,1,3,2.13176928900066,3.0,0.5,1,wm,3
3,1,0,3,1.98891892099982,3.0,1.0,0,wm,3
3,0,0,3,1.31378236,3.0,0.5,1,wm,3
3,1,1,1,1.89715775199966,3.0,0.5,1,wm,3
3,1,1,2,1.70688254400102,3.0,1.0,1,wm,3
3,0,1,1,1.33447735699974,3.0,0.5,0,wm,3
3,1,0,3,1.50763863600059,3.0,1.0,0,wm,3
3,1,1,2,1.23886031100028,3.0,1.0,1,wm,3
3,0,1,1,1.23245452900028,3.0,1.0,0,wm,3
3,0,0,2,1.00138492099995,3.0,1.0,1,wm,3
3,1,1,2,1.27964921900093,3.0,0.5,1,wm,3
3,1,1,2,5.67911646700031,3.0,1.0,1,wm,3
3,0,0,2,1.11301125800037,3.0,0.5,1,wm,3
3,1,1,2,1.16309283800001,3.0,0.5,1,wm,3
3,1,1,2,1.06553308599996,3.0,1.0,1,wm,3
3,0,0,2,1.28962549400057,3.0,1.0,1,wm,3
3,0,0,2,1.57713454700024,3.0,0.5,1,wm,3
3,1,1,2,1.58070711400069,3.0,1.0,1,wm,3
3,0,0,1,10.0520101809998,3.0,1.0,1,wm,3
3,0,1,2,1.23672962100045,3.0,0.5,0,wm,3
3,0,1,1,1.16268916100034,3.0,1.0,0,wm,3
3,0,0,2,1.18288707500051,3.0,1.0,1,wm,3
3,1,0,3,1.53127146700081,3.0,0.5,0,wm,3
3,0,0,3,2.16951654599961,3.0,0.5,1,wm,3
3,0,0,1,3.5373669920009,3.0,1.0,1,wm,3
3,0,0,3,2.06524749900018,3.0,0.5,1,wm,3
3,1,1,3,1.39520080400052,3.0,1.0,1,wm,3
3,1,1,2,1.27712525700008,3.0,1.0,1,wm,3
3,1,1,2,2.64884973400058,3.0,1.0,1,wm,3
3,1,1,2,1.14050517800024,3.0,0.5,1,wm,3
3,0,0,2,1.40865815699999,3.0,1.0,1,wm,3
3,1,1,2,1.3339275090002,3.0,1.0,1,wm,3
3,0,0,3,2.09284011600084,3.0,0.5,1,wm,3
3,1,1,2,1.22799697000028,3.0,0.5,1,wm,3
3,0,0,3,1.28184896699986,3.0,0.5,1,wm,3
3,1,1,1,2.55136387200037,3.0,1.0,1,wm,3
3,0,0,2,1.89562859200032,3.0,0.5,1,wm,3
3,1,1,2,1.40289779000068,3.0,0.5,1,wm,3
3,0,0,2,1.31232554800044,3.0,1.0,1,wm,3
3,1,0,2,1.91045805600061,3.0,1.0,0,wm,3
3,0,1,2,1.80081153600077,3.0,1.0,0,wm,3
3,0,1,2,1.09022178900068,3.0,0.5,0,wm,3
3,1,1,2,0.987426403000427,3.0,0.5,1,wm,3
3,0,0,2,2.09776160100046,3.0,1.0,1,wm,3
3,1,0,3,2.01722348800013,1.0,1.0,0,wm,4
3,1,1,2,1.82009717700021,1.0,1.0,1,wm,4
3,0,1,2,1.36271734599995,1.0,0.5,0,wm,4
3,0,0,3,1.24860398600049,1.0,1.0,1,wm,4
3,0,0,2,2.02492001900009,1.0,1.0,1,wm,4
3,1,1,4,1.18904495100105,1.0,1.0,1,wm,4
3,1,1,3,1.1077520380004,1.0,1.0,1,wm,4
3,0,1,3,1.13347904700095,1.0,0.5,0,wm,4
3,0,0,2,1.18388871600018,1.0,1.0,1,wm,4
3,1,1,2,1.03553777400066,1.0,0.5,1,wm,4
3,0,0,2,1.02303770599974,1.0,0.5,1,wm,4
3,1,1,1,1.59281422800086,1.0,1.0,1,wm,4
3,1,0,2,1.17890720300056,1.0,0.5,0,wm,4
3,0,0,2,2.10515932700037,1.0,0.5,1,wm,4
3,0,0,2,3.25104658100008,1.0,0.5,1,wm,4
3,1,1,1,1.2587316070003,1.0,0.5,1,wm,4
3,1,1,2,0.952125743000579,1.0,1.0,1,wm,4
3,1,0,2,1.17090924200056,1.0,1.0,0,wm,4
3,1,1,2,1.22646510400045,1.0,0.5,1,wm,4
3,0,1,2,2.36389901600069,1.0,1.0,0,wm,4
3,0,0,2,1.30369706800047,1.0,1.0,1,wm,4
3,0,3,1,2.05397999600063,1.0,1.0,0,wm,4
3,0,0,2,1.08479800199984,1.0,0.5,1,wm,4
3,1,1,2,1.020023348,1.0,1.0,1,wm,4
3,1,1,2,1.04368102199987,1.0,0.5,1,wm,4
3,1,1,2,1.91717716899984,1.0,0.5,1,wm,4
3,1,1,2,1.72551708400169,1.0,1.0,1,wm,4
3,1,1,2,1.08341556400046,1.0,1.0,1,wm,4
3,0,1,2,1.15013706500031,1.0,1.0,0,wm,4
3,1,1,2,1.22872824000115,1.0,0.5,1,wm,4
3,1,1,2,1.3357829609995,1.0,0.5,1,wm,4
3,1,1,2,0.967328154001734,1.0,0.5,1,wm,4
3,0,1,2,0.959020226999201,1.0,0.5,0,wm,4
3,1,1,2,1.41466808500081,1.0,0.5,1,wm,4
3,1,1,2,1.11471775000064,1.0,1.0,1,wm,4
3,1,1,2,2.1373076990003,1.0,0.5,1,wm,4
3,1,0,2,1.20804143699934,1.0,1.0,0,wm,4
3,0,1,2,1.35612310900069,1.0,0.5,0,wm,4
3,0,0,2,1.20811095499994,1.0,0.5,1,wm,4
3,1,0,2,1.76311469100074,1.0,1.0,0,wm,4
3,1,1,2,1.28028787800031,1.0,0.5,1,wm,4
3,1,1,1,1.10000018000028,1.0,0.5,1,wm,4
3,1,0,2,1.54566204100047,1.0,0.5,0,wm,4
3,1,0,2,1.37533166100184,1.0,1.0,0,wm,4
3,0,0,1,1.11468257900196,1.0,1.0,1,wm,4
3,0,0,2,4.26833858700047,1.0,1.0,1,wm,4
3,1,1,2,1.46281274099965,1.0,1.0,1,wm,4
3,1,1,2,1.17672967000181,1.0,0.5,1,wm,4
3,1,0,2,1.45288071799951,1.0,1.0,0,wm,4
3,1,1,2,2.06210492000173,1.0,0.5,1,wm,4
3,0,0,2,1.1962427590006,1.0,1.0,1,wm,4
3,1,1,1,1.628946498,1.0,1.0,1,wm,4
3,1,1,1,0.793161396000869,1.0,0.5,1,wm,4
3,0,0,2,4.15292220400079,1.0,0.5,1,wm,4
3,1,1,2,1.24313215999973,1.0,1.0,1,wm,4
3,0,0,2,2.84749624700089,1.0,0.5,1,wm,4
3,0,0,2,1.23893936500099,1.0,1.0,1,wm,4
3,0,1,1,0.873951017001673,1.0,1.0,0,wm,4
3,1,1,2,1.09671027800141,1.0,1.0,1,wm,4
3,0,0,2,2.00945729400155,1.0,1.0,1,wm,4
